iter	RMSE
0	1728.410676
1	1685.796523
2	1639.731319
3	1606.457356
4	1563.434031
5	1516.605815
6	1480.740373
7	1430.047674
8	1384.667485
9	1340.266631
10	1301.26794
11	1272.723444
12	1216.110613
13	1181.074093
14	1144.063052
15	1104.463082
16	1072.258673
17	1042.099043
18	1021.463911
19	992.6729497
20	973.1959719
21	948.4143077
22	922.2512231
23	897.9798049
24	872.3002109
25	848.2541333
26	827.0051305
27	804.2924048
28	782.5184961
29	762.7624609
30	737.9661206
31	719.5169674
32	700.8587409
33	677.7880632
34	660.9844354
35	642.6808711
36	626.1072088
37	606.3774894
38	589.0814251
39	574.6013142
40	554.8761401
41	540.949697
42	526.0490777
43	513.3697622
44	498.7488774
45	484.9183741
46	471.254588
47	458.9536259
48	444.1666732
49	433.502041
50	422.6644898
51	412.1620144
52	401.0396394
53	390.1457541
54	380.3921101
55	370.8823072
56	361.6205026
57	352.5799899
58	343.76549
59	335.0751698
60	326.7010298
61	318.4987817
62	310.5857619
63	302.8733549
64	295.3565016
65	287.991869
66	280.851669
67	273.8021785
68	266.9307903
69	260.2575204
70	253.7510823
71	247.3839559
72	241.1776078
73	235.1279396
74	229.2309597
75	223.5001856
76	217.9126809
77	212.4648638
78	207.13711
79	201.9437644
80	196.8814087
81	191.9467139
82	187.1364372
83	182.4580262
84	177.8862343
85	173.4390784
86	169.0939285
87	164.8665802
88	160.7368197
89	156.7111136
90	152.7868256
91	148.9671549
92	145.242976
93	141.606419
94	138.0662585
95	134.6099165
96	131.2446686
97	127.9635518
98	124.764463
99	121.6415956
