iter	Passed	Remaining
0	0	96
1	2	105
2	2	83
3	3	76
4	4	78
5	4	77
6	5	73
7	6	70
8	6	68
9	7	71
10	8	70
11	9	67
12	9	65
13	10	64
14	10	61
15	11	60
16	12	62
17	13	63
18	14	62
19	15	63
20	17	64
21	18	65
22	19	65
23	21	67
24	22	67
25	23	67
26	24	66
27	25	65
28	26	64
29	27	63
30	27	61
31	28	61
32	30	60
33	30	59
34	31	58
35	31	56
36	32	56
37	33	54
38	34	53
39	35	52
40	35	51
41	36	50
42	37	49
43	38	49
44	39	47
45	40	47
46	40	45
47	41	45
48	42	44
49	43	43
50	44	42
51	45	41
52	46	41
53	46	39
54	47	39
55	49	38
56	50	37
57	51	37
58	52	36
59	53	35
60	54	34
61	55	33
62	56	32
63	57	32
64	58	31
65	59	30
66	60	29
67	61	28
68	61	27
69	63	27
70	64	26
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	19
79	72	18
80	73	17
81	74	16
82	75	15
83	77	14
84	78	13
85	79	12
86	79	11
87	80	11
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	86	5
94	88	4
95	88	3
96	90	2
97	91	1
98	92	0
99	93	0
